 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
424,64586124,8,3,1358,229,309,3,99.0102310180664,60.190731048583984,108,0,36.79253387451172,66.07565307617188,1116426.375,1010719.0,1107363.375,9143662.0,69657512,23813,61862140,1408723.5,3316140.0,69428888,49042,84899800,6481027.0,14911067.0,72668744,2143,0,0,0,0,282,128,837702.125,24165.64453125,1,128,46.94242477416992,73.85334777832031,250104.109375,0,0,0,0,0,0,0,0,0,56.9703369140625,99.0102310180664,36.79253387451172,282,0,0,0,0,0,0,8,1358,3,229,1593,23,4,25,489513.21875,0.07386180758476257,587175,192621,76194624.0,149340.390625,66786304,89372776
32,41417548,3,0,25,1578,20,0,5.798935890197754,5.231472015380859,731,0,479.062255859375,491.22235107421875,6343.20458984375,92999.7890625,7555894.0,14951406.0,38432092,28668,40504260,13724923.0,17958510.0,38086884,32140,26023608,5460360.5,10272039.0,26471716,172,0,0,0,0,93,27,88519.2890625,850.4149169921875,0,755,216.8332977294922,395.3918151855469,985587.5625,0,0,0,0,0,0,0,0,0,250.121337890625,5.798935890197754,479.0621643066406,93,0,0,0,0,0,0,3,25,0,1578,1128,90,2,20,11189.9169921875,0.00866148341447115,15240,10653,19730460.0,15728392.0,34471324,9024668
9446,1134079,2,1,35,4425,9,4,5.2048516273498535,1.5324116945266724,8850,0,2002.3524169921875,4074.10302734375,842204.75,273852.375,373153.8125,555574.5,1183262,50566,1044787,617736.1875,685453.0,1103665,24130,3758666,968213.8125,1938779.0,4108428,248,0,0,0,0,61,34,207168.015625,25795.50390625,3,8915,1013.5,2700.260009765625,11138910.0,0,0,0,0,0,0,0,0,0,1167.8717041015625,5.2048516273498535,2002.3524169921875,61,0,0,0,0,0,0,2,35,1,4425,7246,122,2,21,347545.1875,0.07953988015651703,359396,548761,945620.0625,3645874.0,1032202,650232
25912,188289,1,0,18,9,2,3,9.672124862670898,0.8099266886711121,1034,3,33.44166946411133,382.6239929199219,34809.50390625,85860.7734375,190756.640625,100145.453125,318011,6679,184840,1158346.5,14870.7919921875,302483,110071,166352,308097.03125,19921.90234375,231027,13555,0,0,0,0,25,5,56270.08203125,19974.41796875,0,1127,32.378597259521484,199.33432006835938,1250524.625,0,0,0,0,0,0,0,0,1,46.75038146972656,9.672124862670898,33.44166946411133,25,0,0,0,0,0,0,1,18,0,9,2529,235,0,31,6500.7607421875,0.007149646524339914,5940,9297,515852.65625,16656.6484375,257778,1179983
120,3685333,7,7,1083,10181,340,2,115.15669250488281,145.67214965820312,2207,0,1652.5911865234375,1034.4305419921875,47213.63671875,40765.1796875,233538.359375,404839.78125,2255415,24075,2858651,504509.59375,858129.5,2104995,8378,32736,15411.1982421875,14455.3291015625,18619,186,0,0,0,0,256,237,44678.39453125,921.0696411132812,1,2255,901.6544189453125,997.9251098632812,1486607.5,0,0,0,0,0,0,0,0,0,988.526123046875,115.15669250488281,1652.5909423828125,256,0,0,0,0,0,0,7,1083,7,10181,6766,211,3,30,7177.15966796875,0.01575314626097679,10627,4160,1727389.25,3045955.5,2178941,1090620
9625,78697552,4,5,117,5711,60,1,15.58322811126709,22.349872589111328,1802,2,1029.914306640625,960.7529296875,362847.5,331982.1875,8183674.5,24659594.0,79255888,79181,78395368,20735066.0,31130694.0,78957976,314030,67165032,14659067.0,18743218.0,66281288,14980,0,0,0,0,108,139,314146.21875,13539.2333984375,0,1799,601.071533203125,922.7048950195312,2149275.0,0,0,0,0,0,0,0,0,0,666.9188232421875,15.583224296569824,1029.9144287109375,108,0,0,0,0,0,0,4,117,5,5711,8808,172,2,24,524666.9375,0.19396652281284332,657679,371111,67826160.0,36180076.0,80747576,54602148
9892,8625,1,0,1705,236,162,0,161.68026733398438,6.549331188201904,9859,0,642.7562866210938,4139.8232421875,971030.0,1459010.0,7912.3203125,635.624267578125,3359,603175,6174,26952.693359375,181.4156951904297,2973,366620,201608,87494.6796875,20404.423828125,90206,6809,0,0,0,0,47,10,1164498.375,31715.341796875,0,10257,1155.5467529296875,2809.8046875,13211572.0,0,0,0,0,0,0,0,0,1,1408.0980224609375,161.68026733398438,642.7562255859375,47,0,0,0,0,0,0,1,1705,0,236,27686,99,0,35,1029953.5625,0.038281846791505814,1053470,533182,4972.46875,14546.5859375,2413,9446
8990,61558,1,0,15,1,1,5,1.3692295551300049,0.15556322038173676,25,0,1.6291437149047852,11.63988971710205,69710.3828125,1983.0662841796875,13126.8125,44810.859375,60180,325,60042,36586.89453125,54490.27734375,59636,370,37633,25827.751953125,13082.5810546875,31860,1259,0,0,0,0,37,9,1159.3841552734375,23769.787109375,0,28,1.2918171882629395,8.033063888549805,29163.94140625,0,0,0,0,0,0,0,0,0,1.719457745552063,1.3692289590835571,1.6291437149047852,37,0,0,0,0,0,0,1,15,0,1,320,221,0,28,1460.520263671875,0.0016641413094475865,1746,1370,71464.078125,57895.3671875,50106,70463
46996,15196191,1,1,9,46,1,3,1.203251600265503,0.40595951676368713,672,2,84.19689178466797,374.4363708496094,243110.421875,1064623.25,2167619.25,7698208.0,22494870,11218,14185000,5747888.5,1642014.75,21130686,188566,11298500,5615146.0,1688010.625,14798853,14453,0,0,0,0,44,22,830112.9375,20508.314453125,0,710,52.64596176147461,268.7891845703125,1434647.0,0,0,0,0,0,0,0,0,0,67.37602233886719,1.203251600265503,84.19689178466797,44,0,0,0,0,0,0,1,9,1,46,3786,243,0,21,224817.5,0.08160310238599777,214498,395315,6734364.0,32599150.0,17246846,2259224
207,105571944,4,1,110,6974,128,0,19.925167083740234,45.475921630859375,1332,2,935.967529296875,856.32470703125,292634.21875,22785.412109375,11447987.0,32117434.0,100911832,488,105563120,23429018.0,47007244.0,100911416,2973,1254680,291349.875,379725.4375,1400921,66,0,0,0,0,149,55,13309.20703125,9120.33984375,0,1464,366.7840576171875,667.9401245117188,1230658.75,0,0,0,0,0,0,0,0,0,407.26885986328125,19.925167083740234,935.9674072265625,149,0,0,0,0,0,0,4,110,1,6974,413,231,0,20,6502.3515625,0.0027518391143530607,7784,8169,100889096.0,248088.328125,100926680,100907456
