Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
1343,34165510.0,0,0,0.0,21810.207,195.82397,0.0,41.971138,110.563194,2165.3513,6.1769166,582.1569,868.7346,0.0,38072.92,3032008.0,9020166.0,32513608.0,0.0,32165434.0,6077431.5,13748305.0,33963450.0,309914.75,35318524.0,4166298.5,14067869.0,35932264.0,0.0,0,0,0,0,0,0,52159.92,4309.9795,0.93416333,2067.2297,333.52667,715.5886,724198.1,0,0,0,0,0,0,0,0,0.6998777,342.39005,6.4200063,633.7694,130.99338,0.0012541324,0.0,0.0,0.0014748067,0.0028514795,0.0021633802,38.493088,0.0,0.0,50020.496,4573.712,481.01978,0.0,22.19276,0.0,0.0,60497.438,0.0,32616270.0,0.0,32793156.0,34280580.0
1819,13950404.0,0,21,0.0,59915.14,210.17644,0.0,64.880585,124.02098,1399.5771,4.484526,539.29865,552.7371,6264829.5,0.0,934852.7,5160827.5,12369416.0,0.0,13542133.0,2876725.8,4963761.0,12997288.0,263128.7,0.0,0.0,895774.44,158468.61,197184.67,0,0,0,0,0,0,13406.823,0.0,0.0,1443.6042,386.32968,597.2287,0.0,0,0,0,0,0,0,0,0,0.6360616,459.2668,10.596155,675.49835,290.52527,0.0007131201,0.00045477957,0.0004441477,0.0,0.0006715839,0.0007817152,15.836587,0.0,0.0,30643.191,5235.922,139.26683,0.0,23.572754,0.0,0.0,235196.83,71061.414,12037700.0,5965.4854,16183389.0,14470325.0
7978,2783235.8,0,0,0.0,61907.348,57.64632,0.0,25.913433,64.19869,0.0,5.8543735,0.0,0.0,5910711.0,49677.953,405673.84,338398.97,3299173.2,0.0,0.0,0.0,755217.4,2588101.2,0.0,0.0,0.0,79893.625,0.0,0.0,0,0,0,0,0,0,34671.02,10567.592,2.2777343,26.308172,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.6948832,0.0,0.0,61.560944,301.33936,0.0028520399,0.0,0.0,0.0008835283,0.0026713253,0.0034851274,21.530634,0.0,0.0,49908.26,6215.6016,137.8433,0.0,24.51931,0.0,63548.93,129897.72,0.0,2488844.8,0.0,4148033.5,2590067.0
1964,29232312.0,0,4,0.0,38288.54,226.58884,0.0,63.37539,126.04482,55.22062,5.904039,158.61412,0.0,12516698.0,0.0,1979208.2,9311792.0,28515228.0,0.0,28552760.0,4208623.0,10174296.0,28443146.0,30768.979,0.0,0.0,524546.06,464898.8,434591.25,0,0,0,0,0,0,18901.613,1330.3893,0.0,242.87865,60.87283,49.32148,0.0,0,0,0,0,0,0,0,0,0.29125217,94.491974,26.42586,173.49704,452.83344,0.00042404907,0.0013125847,0.0013006243,0.0,0.00083373487,0.00024770736,23.98954,511.87378,0.0,11813.762,4419.7993,174.14977,0.0,25.691902,0.0,0.0,155536.73,24820.408,27962748.0,0.0,32727610.0,29687014.0
1710,0.0,0,0,0.0,35503.906,48.38505,0.0,50.069702,87.819725,0.0,0.0,0.0,0.0,13668787.0,605215.75,630281.06,1377506.0,0.0,0.0,0.0,1399488.6,0.0,0.0,0.0,0.0,0.0,724407.94,1261489.1,13168.836,0,0,0,0,0,0,595787.5,12567.771,0.8831884,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.42370212,0.0,16.947306,0.0,404.17004,0.0024366013,0.0,0.0,0.0,0.0006551134,0.0,30.362514,0.0,0.0,18033.098,5525.6753,385.8579,0.0,32.17928,0.0,36533.51,183521.67,0.0,0.0,0.0,0.0,0.0
1644,0.0,0,0,0.0,33105.555,71.59815,0.0,53.36666,88.50611,0.0,1.838182,0.0,0.0,12136229.0,198935.9,313655.2,1859509.2,0.0,0.0,0.0,938831.7,638138.2,0.0,16522.283,0.0,0.0,682931.2,1049227.9,124757.016,0,0,0,0,0,0,208497.38,6004.491,1.4609609,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.4253346,0.0,13.594096,0.0,362.52087,0.0027283,0.0,0.00014984654,0.0,0.00070461,0.00092924753,34.774715,0.0,0.0,16150.376,4642.1694,345.67572,0.0,26.557571,0.0,0.0,153365.16,0.0,0.0,0.0,58800.945,0.0
2038,4692519.5,0,22,0.0,69414.38,176.8192,0.0,66.245285,113.48705,1688.1262,4.3136597,612.3995,705.5431,5184352.5,0.0,393469.94,2524404.0,2918190.2,0.0,3571809.0,1542204.5,1903643.1,3639082.5,312348.06,0.0,0.0,801811.1,0.0,0.0,0,0,0,0,0,0,11645.758,0.0,0.0,1777.1112,468.70673,744.9419,482360.72,0,0,0,0,0,0,0,0,0.7889734,546.1259,2.3363414,771.17694,241.12689,0.0013245689,0.0,0.0,0.00035264643,0.000883603,0.001750125,14.930411,0.0,0.0,44846.45,5816.9575,168.7631,0.0,23.045889,0.0,0.0,212898.45,20459.174,2492895.0,0.0,5836498.5,4820273.5
1648,5487989.5,0,4,0.0,38529.812,134.7113,0.0,56.060867,100.13927,0.0,3.8618128,0.0,0.0,12773289.0,0.0,987374.0,4695038.0,4918248.5,0.0,3185931.8,1992426.6,4169108.8,5324482.0,0.0,255494.88,0.0,925471.2,1508918.5,262783.34,0,0,0,0,0,0,17102.893,0.0,0.44418687,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.35048532,16.129225,13.701286,0.0,338.13477,0.002190094,0.0010793008,0.0009883122,0.0,0.0011863024,0.00072324835,29.513582,0.0,0.0,8954.963,4229.852,300.0835,0.0,23.807472,0.0,0.0,154037.44,17727.46,4467504.0,0.0,8359716.0,5485454.0
840,43159916.0,0,0,27441.46,100168.3,16.766373,0.0,47.882114,19.621403,0.0,0.0,0.0,0.0,15043931.0,156088.19,7417540.0,6073759.5,19850082.0,3544679.8,38545052.0,11812800.0,4096485.5,21155960.0,6936558.5,30790296.0,13905962.0,10595430.0,21343748.0,5429130.0,0,0,0,0,0,0,0.0,61028.04,11.745847,0.0,38.442112,0.0,0.0,0,0,0,1,0,0,0,0,0.45126387,89.461266,2.1684618,0.0,662.76917,0.0,0.0,0.001787568,0.0031770645,0.0061781406,0.0,0.0,0.0,0.0,57045.48,19400.99,0.0,0.0,30.395874,1730245.0,1971868.5,2950331.5,442443.25,14537718.0,529912.94,16928086.0,15707445.0
6102,281768.5,0,15,0.0,76216.22,153.35693,0.0,63.861572,92.470406,898.05414,5.7947903,290.77362,515.70654,1864074.1,37761.28,5822.9053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183358.44,0.0,0.0,148409.58,0.0,0.0,0,0,0,0,0,0,28247.541,1566.9908,0.94491637,1242.308,346.98535,553.3994,414757.8,0,0,0,0,0,0,0,0,0.8669661,399.167,0.0,469.9094,383.9467,0.002424274,0.0,0.0,0.0,0.00057862856,0.0045808298,24.643196,0.0,0.0,68045.62,7028.0493,236.11865,6.0602927,23.217789,0.0,61670.2,85216.13,0.0,691643.4,0.0,0.0,3568057.2
